"","year","dataset","link"
"1",2005,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2005/bevoelkerungsstruktur_2005_insgesamt.csv"
"2",2005,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2005/bevoelkerungsstruktur_2005_alter.csv"
"3",2005,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2005/bevoelkerungsstruktur_2005_familienstand.csv"
"4",2005,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2005/bevoelkerungsstruktur_2005_geschlecht.csv"
"5",2005,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2005/bevoelkerungsstruktur_2005_staatsangehoerigkeit.csv"
"6",2005,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2005/bevoelkerungsstruktur_2005_bewegung_natuerlich.csv"
"7",2005,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2005/bevoelkerungsstruktur_2005_bewegung_raeumlich.csv"
"8",2005,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2005/bevoelkerungsstruktur_2005_bewegung_gesamt.csv"
"9",2006,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2006/bevoelkerungsstruktur_2006_insgesamt.csv"
"10",2006,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2006/bevoelkerungsstruktur_2006_alter.csv"
"11",2006,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2006/bevoelkerungsstruktur_2006_familienstand.csv"
"12",2006,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2006/bevoelkerungsstruktur_2006_geschlecht.csv"
"13",2006,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2006/bevoelkerungsstruktur_2006_staatsangehoerigkeit.csv"
"14",2006,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2006/bevoelkerungsstruktur_2006_bewegung_natuerlich.csv"
"15",2006,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2006/bevoelkerungsstruktur_2006_bewegung_raeumlich.csv"
"16",2006,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2006/bevoelkerungsstruktur_2006_bewegung_gesamt.csv"
"17",2007,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2007/bevoelkerungsstruktur_2007_insgesamt.csv"
"18",2007,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2007/bevoelkerungsstruktur_2007_alter.csv"
"19",2007,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2007/bevoelkerungsstruktur_2007_familienstand.csv"
"20",2007,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2007/bevoelkerungsstruktur_2007_geschlecht.csv"
"21",2007,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2007/bevoelkerungsstruktur_2007_staatsangehoerigkeit.csv"
"22",2007,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2007/bevoelkerungsstruktur_2007_bewegung_natuerlich.csv"
"23",2007,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2007/bevoelkerungsstruktur_2007_bewegung_raeumlich.csv"
"24",2007,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2007/bevoelkerungsstruktur_2007_bewegung_gesamt.csv"
"25",2008,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2008/bevoelkerungsstruktur_2008_insgesamt.csv"
"26",2008,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2008/bevoelkerungsstruktur_2008_alter.csv"
"27",2008,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2008/bevoelkerungsstruktur_2008_familienstand.csv"
"28",2008,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2008/bevoelkerungsstruktur_2008_geschlecht.csv"
"29",2008,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2008/bevoelkerungsstruktur_2008_staatsangehoerigkeit.csv"
