"","stadtbereich_code","stadtbereich_bezeichnung","abs_bestandsveraenderung","rel_bestandsveraenderung","bestandsveraaenderung_je_1000"
"1","C","Lichtenhagen",139,1,9.8
"2","K","Kröpeliner-Tor-Vorstadt",17,0.1,0.9
"3","Q","Dierkow-Ost",-11,-1,-10
"4","D","Groß Klein",6,0,0.5
"5","T","Gehlsdorf",259,6.5,61.2
"6","H","Reutershagen",48,0.3,2.6
"7","G","Schmarl",122,1.5,14.5
"8","M","Biestow",-48,-1.7,-16.9
"9","N","Stadtmitte",69,0.4,3.7
"10","S","Toitenwinkel",74,0.6,5.6
"11","O","Brinckmansdorf",-4,0,-0.5
"12","E","Lütten Klein",-28,-0.2,-1.6
"13","I","Hansaviertel",-4,0,-0.5
"14","U","Rostock-Ost",-14,-1.2,-11.8
"15","L","Südstadt",-35,-0.2,-2.4
"16","F","Evershagen",55,0.3,3.3
"17","R","Dierkow-West",-12,-1,-10.2
"18","P","Dierkow-Neu",-44,-0.4,-4.2
"19","A","Warnemünde",-48,-0.6,-6.1
"20","B","Rostock-Heide",0,0,0
"21","J","Gartenstadt-Stadtweide",28,0.9,8.5
