"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",128,9.1,51.9,114,8.1,14,1
"2","K","Kröpeliner-Tor-Vorstadt",256,13.2,44.1,101,5.2,155,8
"3","Q","Dierkow-Ost",4,3.6,35.1,9,8.1,-5,-4.5
"4","D","Groß Klein",122,9.5,56.6,193,15,-71,-5.5
"5","T","Gehlsdorf",45,11.3,69.4,25,6.3,20,5
"6","H","Reutershagen",146,8.1,49.6,218,12.1,-72,-4
"7","G","Schmarl",96,11.6,62.9,56,6.8,40,4.8
"8","M","Biestow",17,5.9,45.3,22,7.6,-5,-1.7
"9","N","Stadtmitte",246,13.3,54.7,170,9.2,76,4.1
"10","S","Toitenwinkel",138,10.5,53.8,145,11,-7,-0.5
"11","O","Brinckmansdorf",65,8,52.4,68,8.3,-3,-0.4
"12","E","Lütten Klein",123,7.2,50.1,240,14.1,-117,-6.9
"13","I","Hansaviertel",85,10,47.7,93,10.9,-8,-0.9
"14","U","Rostock-Ost",6,5,33.5,3,2.5,3,2.5
"15","L","Südstadt",99,6.7,41.2,236,16,-137,-9.3
"16","F","Evershagen",137,8.3,47.8,178,10.8,-41,-2.5
"17","R","Dierkow-West",3,2.5,21.9,15,12.7,-12,-10.1
"18","P","Dierkow-Neu",117,11,56.2,58,5.5,59,5.6
"19","A","Warnemünde",39,4.9,44.6,93,11.8,-54,-6.8
"20","B","Rostock-Heide",8,5.1,45.7,18,11.5,-10,-6.4
"21","J","Gartenstadt-Stadtweide",26,8,55.7,41,12.5,-15,-4.6
