"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",785,55.1,622,43.6,163,11.4
"2","K","Kröpeliner-Tor-Vorstadt",1542,79.3,1655,85.1,-113,-5.8
"3","Q","Dierkow-Ost",21,19.2,21,19.2,0,0
"4","D","Groß Klein",764,59.2,642,49.8,122,9.5
"5","T","Gehlsdorf",217,51.3,158,37.3,59,13.9
"6","H","Reutershagen",789,43.6,712,39.3,77,4.3
"7","G","Schmarl",510,60.6,415,49.3,95,11.3
"8","M","Biestow",44,15.5,63,22.2,-19,-6.7
"9","N","Stadtmitte",1484,80.2,1598,86.3,-114,-6.2
"10","S","Toitenwinkel",890,67.1,746,56.2,144,10.9
"11","O","Brinckmansdorf",207,25.4,226,27.7,-19,-2.3
"12","E","Lütten Klein",816,48,662,39,154,9.1
"13","I","Hansaviertel",456,53.6,477,56.1,-21,-2.5
"14","U","Rostock-Ost",41,34.7,40,33.8,1,0.8
"15","L","Südstadt",843,57.3,860,58.5,-17,-1.2
"16","F","Evershagen",854,51.5,665,40.1,189,11.4
"17","R","Dierkow-West",25,21.3,24,20.5,1,0.9
"18","P","Dierkow-Neu",663,62.7,578,54.6,85,8
"19","A","Warnemünde",285,36.2,257,32.7,28,3.6
"20","B","Rostock-Heide",77,49.3,71,45.4,6,3.8
"21","J","Gartenstadt-Stadtweide",298,90.4,146,44.3,152,46.1
