"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44.5,39.5,6.4,9.1
"2","K","Kröpeliner-Tor-Vorstadt",67,22.2,4.4,6.2
"3","Q","Dierkow-Ost",27.5,58.6,9.3,4.5
"4","D","Groß Klein",46.1,35.5,7.2,10.7
"5","T","Gehlsdorf",41.7,45.4,4.1,8
"6","H","Reutershagen",42.4,39.4,9.9,8.1
"7","G","Schmarl",48.2,35.1,5.9,10.4
"8","M","Biestow",29.2,57.7,7.9,4.8
"9","N","Stadtmitte",57.4,30.1,5.2,6.9
"10","S","Toitenwinkel",50.7,32,5.7,11.2
"11","O","Brinckmansdorf",33.5,55.2,5.5,5.6
"12","E","Lütten Klein",42.1,34.3,11.5,11.9
"13","I","Hansaviertel",52.8,33.2,7.5,6.4
"14","U","Rostock-Ost",30.6,58.3,4.4,6.3
"15","L","Südstadt",43.5,34.6,12,9.6
"16","F","Evershagen",45.6,36.3,8,9.8
"17","R","Dierkow-West",28.9,56.7,8.4,6
"18","P","Dierkow-Neu",51.8,30.6,5.5,11.8
"19","A","Warnemünde",29.2,51,10,9.5
"20","B","Rostock-Heide",31.2,52.5,6.9,9.4
"21","J","Gartenstadt-Stadtweide",37.6,49.8,6.4,4.2
