"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","A","Warnemünde",3962,46.4,4573,53.6
"2","B","Rostock-Heide",850,48.9,890,51.1
"3","C","Lichtenhagen",6908,49.6,7021,50.4
"4","D","Groß Klein",6783,50.1,6753,49.9
"5","E","Lütten Klein",7810,47,8824,53
"6","F","Evershagen",8230,49.2,8502,50.8
"7","G","Schmarl",4466,50.3,4406,49.7
"8","H","Reutershagen",8265,47.8,9035,52.2
"9","I","Hansaviertel",3805,47.1,4271,52.9
"10","J","Gartenstadt-Stadtweide",1670,51.1,1599,48.9
"11","K","Kröpeliner-Tor-Vorstadt",9402,48.8,9858,51.2
"12","L","Südstadt",7079,46.9,8027,53.1
"13","M","Biestow",1198,46.4,1383,53.6
"14","N","Stadtmitte",10530,49.5,10758,50.5
"15","O","Brinckmansdorf",4365,48.6,4620,51.4
"16","P","Dierkow-Neu",5564,51,5356,49
"17","Q","Dierkow-Ost",480,47.1,540,52.9
"18","R","Dierkow-West",617,50.6,602,49.4
"19","S","Toitenwinkel",7903,51.4,7472,48.6
"20","T","Gehlsdorf",2621,50.4,2579,49.6
"21","U","Rostock-Ost",634,51.8,591,48.2
