"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern","anteil_alleinerziehende"
"1","C","Lichtenhagen",7681,48.4,26.8,23.8,14.3,54.8
"2","K","Kröpeliner-Tor-Vorstadt",12997,66.1,48.5,10.1,12.3,55.8
"3","Q","Dierkow-Ost",535,24.5,9.9,48.1,15.5,39.8
"4","D","Groß Klein",7340,50.6,26.4,20,15.6,57.9
"5","T","Gehlsdorf",1761,33.6,14.9,19.6,21.1,33.6
"6","H","Reutershagen",10665,50.2,23.3,34.5,12.9,57.8
"7","G","Schmarl",4761,49.7,26.8,19.8,16.5,58.4
"8","M","Biestow",1322,26.2,4.9,54.1,22.3,29.2
"9","N","Stadtmitte",10738,58.3,38.1,13.1,15.8,46.9
"10","S","Toitenwinkel",7744,55.2,32.2,13.7,15.7,59.2
"11","O","Brinckmansdorf",3607,23.3,14.7,29.2,25.3,26.9
"12","E","Lütten Klein",10669,56.2,21.1,36.8,10.8,62.1
"13","I","Hansaviertel",5223,54.2,36.6,22.6,13.6,58.1
"14","U","Rostock-Ost",545,22.6,20.3,18.7,20.4,29.7
"15","L","Südstadt",8589,56.6,16.6,45.6,9.3,53.9
"16","F","Evershagen",9316,49.1,29.1,29,15.7,55.3
"17","R","Dierkow-West",534,24.5,9.2,40.5,15.9,31.8
"18","P","Dierkow-Neu",6601,57.6,35,12.9,14.5,64.2
"19","A","Warnemünde",4771,46.1,9,42.3,10.9,46.3
"20","B","Rostock-Heide",903,40.2,14,27.3,11.2,29.7
"21","J","Gartenstadt-Stadtweide",1282,24.1,18.8,29.4,26.6,31.4
