"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern"
"1","C","Lichtenhagen",7819,47.7,24.7,25.3,16.3
"2","K","Kröpeliner-Tor-Vorstadt",13214,66.6,46.7,9,12.4
"3","Q","Dierkow-Ost",527,25,7.6,46.2,15.2
"4","D","Groß Klein",7224,49.6,24,20.5,16.2
"5","T","Gehlsdorf",1891,31.2,15.1,21.9,23.9
"6","H","Reutershagen",10704,50.8,24.5,32.6,13.6
"7","G","Schmarl",4771,48.8,26,21,17.3
"8","M","Biestow",1290,25.7,7.5,47.9,22
"9","N","Stadtmitte",10773,57.4,36.9,12.6,16.8
"10","S","Toitenwinkel",7707,55,29.4,13.5,16.1
"11","O","Brinckmansdorf",3640,24.4,12.5,27.3,25
"12","E","Lütten Klein",10485,55.9,19.5,37.4,11.7
"13","I","Hansaviertel",5196,55.5,36.1,21.5,14.1
"14","U","Rostock-Ost",554,24.5,17.6,19.1,20.8
"15","L","Südstadt",8645,57.1,17.1,43.3,10.1
"16","F","Evershagen",9167,48.9,27.9,28.5,15.9
"17","R","Dierkow-West",533,25.7,8.8,40.9,16.1
"18","P","Dierkow-Neu",6565,57.2,30.8,13.9,15.2
"19","A","Warnemünde",4674,45.9,9.3,41.5,11.4
"20","B","Rostock-Heide",921,42,12.4,28.2,11.2
"21","J","Gartenstadt-Stadtweide",1290,24.9,15.3,32.7,26.1
