"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern","anteil_alleinerziehende_an_mit_kindern"
"1","A","Warnemünde",5080,48,6.4,45.3,10.9,25.6
"2","B","Rostock-Heide",957,43.7,9.8,31.8,10.8,21.4
"3","C","Lichtenhagen",7992,51.5,18.7,32.2,16,38.9
"4","D","Groß Klein",7527,52.7,18.7,28.4,16.5,42.1
"5","E","Lütten Klein",10842,61.8,16.1,39.6,11.7,48.6
"6","F","Evershagen",9529,52.8,23.3,31.4,15.6,39.3
"7","G","Schmarl",5035,52.9,22.7,26.8,18.1,46.5
"8","H","Reutershagen",10785,55.7,20.9,31.8,14.1,33.5
"9","I","Hansaviertel",5118,57.8,32.3,22,15.4,27.3
"10","J","Gartenstadt-Stadtweide",1294,28,9.9,38.7,25.7,15.3
"11","K","Kröpeliner-Tor-Vorstadt",12702,65.6,42.1,10.8,13.6,27.6
"12","L","Südstadt",8934,62,18.2,40.9,11.2,32.2
"13","M","Biestow",1325,32.2,4.9,56,18.2,18.3
"14","N","Stadtmitte",11758,54.9,31.5,15.5,19.1,23.6
"15","O","Brinckmansdorf",3927,29.5,12.1,33.6,22.3,17.6
"16","P","Dierkow-Neu",6864,58.9,23.9,18.6,15.5,46.2
"17","Q","Dierkow-Ost",502,28.3,4.9,54.9,17.7,14.6
"18","R","Dierkow-West",556,27.7,3.2,49.4,18.3,21.6
"19","S","Toitenwinkel",8225,56.4,21.5,16.9,18.2,40.8
"20","T","Gehlsdorf",2089,34.5,9.2,26.5,24.7,16.5
"21","U","Rostock-Ost",584,28.8,13.7,30.4,21.2,14.5
