"","stadtbereich_code","stadtbereich_bezeichnung","einwohnerzahl","bevoelkerungsdichte"
"1","A","Warnemünde",8464,884
"2","B","Rostock-Heide",1667,32
"3","C","Lichtenhagen",13918,2350
"4","D","Groß Klein",13527,5935
"5","E","Lütten Klein",16575,4653
"6","F","Evershagen",16616,2378
"7","G","Schmarl",8620,1948
"8","H","Reutershagen",17361,3026
"9","I","Hansaviertel",8196,4192
"10","J","Gartenstadt-Stadtweide",3225,667
"11","K","Kröpeliner-Tor-Vorstadt",19320,6496
"12","L","Südstadt",14962,2674
"13","M","Biestow",2599,681
"14","N","Stadtmitte",21003,4515
"15","O","Brinckmansdorf",8676,850
"16","P","Dierkow-Neu",10911,4880
"17","Q","Dierkow-Ost",1026,2008
"18","R","Dierkow-West",1195,1190
"19","S","Toitenwinkel",15086,4098
"20","T","Gehlsdorf",5100,1035
"21","U","Rostock-Ost",1226,40
