"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",95,5
"2","K","Kröpeliner-Tor-Vorstadt",96.4,3.6
"3","Q","Dierkow-Ost",99,1
"4","D","Groß Klein",95.9,4.1
"5","T","Gehlsdorf",99,1
"6","H","Reutershagen",98.6,1.4
"7","G","Schmarl",97,3
"8","M","Biestow",99.3,0.7
"9","N","Stadtmitte",94.8,5.2
"10","S","Toitenwinkel",97.3,2.7
"11","O","Brinckmansdorf",99.2,0.8
"12","E","Lütten Klein",96,4
"13","I","Hansaviertel",98.6,1.4
"14","U","Rostock-Ost",99.2,0.8
"15","L","Südstadt",95.6,4.4
"16","F","Evershagen",94.5,5.5
"17","R","Dierkow-West",99.7,0.3
"18","P","Dierkow-Neu",95.7,4.3
"19","A","Warnemünde",98.3,1.7
"20","B","Rostock-Heide",99.2,0.8
"21","J","Gartenstadt-Stadtweide",92.1,7.9
